Coordinates
"[21.0724206, -101.6337101]"
"[34.8569398, 135.7097066]"
"[-34.582778, 19.352222]"
"[37.9716898, -100.8726618]"
"[33.5863905, -79.0120628]"
"[-16.7916069, -179.9981204]"
"[-33.8596624, 151.2288783]"
"[26.92435435, -82.01505582629665]"
"[40.85661845, -73.65004166047507]"
"[21.162728, -86.8910343]"
"[31.4432234, 34.360007]"
"[50.66903, -1.5694418128292502]"
"[-38.1492813, 144.3598269]"
"[-33.57334, 115.2648]"
"[43.466516, -73.687345]"
"[9.3535476, -79.8926503]"
"[-34.0392423, 150.8946067]"
"[33.4392245, -79.3343041]"
"[44.9153107, -64.7386126]"
"[12.054971349999999, -61.754177850000005]"
"[-28.77035, 114.6147159]"
"[-34.7461982, 150.8278546]"
"[26.0198133, 10.4339911]"
"[42.7534856, 13.9667011]"
"[-23.8431724, 151.256132]"
"[-23.1834758, 151.90661908013652]"
"[54.1067319, -6.188569]"
"[44.8789911, -124.0346728]"
"[44.8789911, -124.0346728]"
"[-34.9803673, 138.5143342]"
"[-34.9803673, 138.5143342]"
"[-38.3518327, 141.6090428]"
"[-32.8938889, 28.0888889]"
"[-34.049324, 22.315192]"
"[-23.9895363, 113.4994447]"
"[42.4074459, -124.4217418]"
"[42.4074459, -124.4217418]"
"[25.9650919, -80.1222671]"
"[-26.8122263, 153.1207662786106]"
"[-35.0747847, 137.6877757]"
"[8.855, -81.365]"
"[39.81038624999999, 8.496158067128016]"
"[-32.9436088, 28.0132812]"
"[-35.5020818, 138.7820507]"
"[-35.5141519, 138.76095556318342]"
"[-34.1611249, 18.8686867]"
"[-11.5945074, 133.4549147]"
"[-33.8646786, 114.9881592]"
"[45.5695863, -96.433299]"
"[27.9580004, -15.6062305376665]"
"[34.2731389, -118.48557772869037]"
"[40.7202788, -74.0159252]"
"[27.1435, -78.22069415143268]"
"[29.2366172, -89.9872942]"
"[33.8112835, -78.7233511]"
"[54.1930633, -2.9094791]"
"[42.667337, -70.62216]"
"[55.9797931, -3.2260496]"
"[39.7979847, -0.1321222]"
"[28.0514053, -97.1538796]"
"[-16.35, 145.9]"
"[-16.35, 145.9]"
"[-31.354773, 25.4679822]"
"[36.223089, -81.7761012]"
"[-32.6704083, 25.8835114]"
"[24.0888191, -76.3911591]"
"[-23.17339165, 150.9570811816762]"
"[-36.6161239, 175.8016072]"
"[22.6562977, 121.49089601107625]"
"[23.469096450000002, -75.8446347829663]"
"[-28.165992199999998, 153.54291931891754]"
"[45.622998, -74.5969294]"
"[-29.060556, 30.588889]"
"[-33.9439385, 23.558979]"
"[-13.980525199999999, 136.58688005808932]"
"[43.1050181, 3.086422]"
"[-9.59842095, 160.1485117018448]"
"[37.9423533, -4.4793468]"
"[6.8965495, 125.7650135]"
"[20.1431797, -75.2034783]"
"[19.9242388, -75.15931492170088]"
"[-12.6503429, -38.070676]"
"[21.1259384, -75.8291174]"
"[30.2369736, -88.68042953504445]"
"[30.2665761, -87.6492369413595]"
"[30.2711224, -87.6893826]"
"[7.674124750000001, 78.93709277882492]"
"[24.4870296, -89.5363207573838]"
"[13.5251637, 144.8039164]"
"[43.2955999, 1.2257897]"
"[44.648618, -63.5859487]"
"[25.9812025, -80.148379]"
"[-32.0713889, 152.5019444]"
"[53.550341, 10.000654]"
"[-34.2202758, 115.0313474]"
"[43.2560802, -79.8728583]"
"[32.3379906, -64.7357556]"
"[36.9507552, -76.41141865690076]"
"[50.264227000000005, -3.861412916403032]"
"[22.21, -159.5091667]"
"[22.21, -159.5091667]"
"[22.21, -159.5091667]"
"[46.7392022, 11.5861282]"
"[30.37095535, -81.40284284733937]"
"[19.99224725, -155.82575643186394]"
